Property type,Size,Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior friendly,Students only,Balcony,Parking,Dishwasher,Washing machine,Electric charging station,Dryer,Energy rating,Rental period,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,Listing-id,Adress
Apartment,25 m²,1.0,5th ,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,31 May 2024,7.900 kr.,600 kr.,23.700 kr.,7.900 kr.,40.100 kr.,22/03/2024,5267167,"Finsensvej, 2000 København, Frederiksberg  - 5th floor"
Apartment,47 m²,1.0,5th ,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,30 June 2024,10.800 kr.,850 kr.,32.400 kr.,10.800 kr.,54.850 kr.,22/03/2024,5332302,"Vanløse Allé, 2720 København, Vanløse  - 5th floor"
Apartment,85 m²,2.0,4th ,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 June 2024,13.200 kr.,800 kr.,13.200 kr.,0 kr.,27.200 kr.,22/03/2024,5338103,"Vallensbæk Stationstorv, 2665 København, Vallensbæk Strand  - 4th floor"
Apartment,85 m²,2.0,2nd ,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 July 2024,12.995 kr.,800 kr.,12.995 kr.,0 kr.,26.790 kr.,22/03/2024,5338081,"Vallensbæk Stationstorv, 2665 København, Vallensbæk Strand  - 2nd floor"
Apartment,85 m²,2.0,2nd ,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 July 2024,12.900 kr.,800 kr.,12.900 kr.,0 kr.,26.600 kr.,22/03/2024,5427855,"Vallensbæk Stationstorv, 2665 København, Vallensbæk Strand  - 2nd floor"
Apartment,100 m²,3.0,3rd ,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Not specified,Yes,,24+ months,1 July 2024,18.500 kr.,1.200 kr.,55.500 kr.,0 kr.,75.200 kr.,22/03/2024,5427850,"Nimbusparken, 2000 København, Frederiksberg  - 3rd floor"
Apartment,46 m²,2.0,Ground floor,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,-,12-23 months,1 May 2024,10.500 kr.,1.500 kr.,10.500 kr.,10.500 kr.,33.000 kr.,22/03/2024,4684581,"Sjælør Boulevard, 2450 København, København SV  - Ground floor"
Apartment,149 m²,4.0,2nd ,No,No,No,Yes,Not specified,Not specified,Yes,Yes,Not specified,Not specified,No,Not specified,-,Unlimited,15 July 2024,33.500 kr.,1.550 kr.,100.500 kr.,33.500 kr.,169.050 kr.,22/03/2024,5199617,"Tuborg Bakkedrag, 2900 København, Hellerup  - 2nd floor"
House,200 m²,5.0,-,No,No,Yes,No,Not specified,Not specified,No,Yes,Not specified,Not specified,No,Not specified,-,24+ months,10 July 2024,27.000 kr.,600 kr.,81.000 kr.,,108.600 kr.,22/03/2024,5427836,"Ellemosevej, 2900 København, Hellerup "
Apartment,66 m²,2.0,1st ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,1 May 2024,13.475 kr.,700 kr.,40.425 kr.,13.475 kr.,68.075 kr.,22/03/2024,5427828,"Amager Strandvej, 2300 København, København S  - 1st floor"
Apartment,99 m²,4.0,4th ,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,15 May 2024,18.931 kr.,550 kr.,56.793 kr.,18.931 kr.,95.205 kr.,22/03/2024,5425327,"Molestien, 2450 København, København SV  - 4th floor"
Apartment,101 m²,4.0,9th ,No,Yes,Yes,Yes,Not specified,Not specified,Yes,Not specified,No,Yes,Not specified,Yes,-,Unlimited,1 July 2024,15.675 kr.,350 kr.,47.025 kr.,15.675 kr.,78.725 kr.,22/03/2024,5151511,"Ørestads Boulevard, 2300 København, København S  - 9th floor"
House,145 m²,5.0,-,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,-,24+ months,1 June 2024,17.000 kr.,,51.000 kr.,,68.000 kr.,22/03/2024,4256314,"Tornekrogen, 3500 København, Værløse "
Apartment,89 m²,2.0,2nd ,Yes,Yes,No,No,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,-,12-23 months,1 June 2024,19.000 kr.,1.200 kr.,57.000 kr.,0 kr.,77.200 kr.,22/03/2024,5273412,"Store Strandstræde, 1255 København, København K  - 2nd floor"
Apartment,165 m²,6.0,Ground floor,Yes,No,No,No,No,No,No,Yes,Not specified,Not specified,Not specified,Not specified,,12-23 months,As soon as possible,28.000 kr.,2.000 kr.,84.000 kr.,0 kr.,114.000 kr.,22/03/2024,5302098,"Classensgade, 2100 København, København Ø  - Ground floor"
Apartment,70 m²,3.0,-,No,Yes,Yes,No,No,No,Yes,Yes,Not specified,Not specified,No,Not specified,,Unlimited,15 June 2024,12.500 kr.,1.000 kr.,37.500 kr.,12.500 kr.,63.500 kr.,22/03/2024,5427803,"Damhus Boulevard, 2610 København, Rødovre "
Apartment,70 m²,3.0,-,No,Yes,Yes,No,No,No,Yes,Yes,Not specified,Not specified,No,Not specified,,Unlimited,15 June 2024,12.500 kr.,1.000 kr.,37.500 kr.,12.500 kr.,63.500 kr.,22/03/2024,5427802,"Damhus Boulevard, 2610 København, Rødovre "
Apartment,108 m²,4.0,2nd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,As soon as possible,14.900 kr.,1.300 kr.,44.700 kr.,14.900 kr.,75.800 kr.,21/03/2024,5356135,"Torbenfeldvej, 2665 København, Vallensbæk Strand  - 2nd floor"
Apartment,106 m²,4.0,2nd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,As soon as possible,14.700 kr.,1.300 kr.,44.100 kr.,14.700 kr.,74.800 kr.,21/03/2024,5384102,"Torbenfeldvej, 2665 København, Vallensbæk Strand  - 2nd floor"
Apartment,96 m²,3.0,1st ,No,Yes,Yes,Not specified,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,As soon as possible,13.584 kr.,500 kr.,40.752 kr.,13.584 kr.,68.420 kr.,21/03/2024,5367513,"Vestervej, 2630 København, Taastrup  - 1st floor"
Apartment,108 m²,4.0,3rd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 June 2024,14.000 kr.,1.300 kr.,42.000 kr.,14.000 kr.,71.300 kr.,21/03/2024,5352710,"Torbenfeldvej, 2665 København, Vallensbæk Strand  - 3rd floor"
Apartment,87 m²,3.0,8th ,No,Yes,Yes,Not specified,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 June 2024,12.700 kr.,700 kr.,38.100 kr.,12.700 kr.,64.200 kr.,21/03/2024,5292840,"Lyskær, 2730 København, Herlev  - 8th floor"
Apartment,81 m²,3.0,3rd ,No,Yes,Yes,Not specified,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,12.400 kr.,800 kr.,37.200 kr.,12.400 kr.,62.800 kr.,21/03/2024,5301631,"Lyskær, 2730 København, Herlev  - 3rd floor"
Apartment,86 m²,3.0,Ground floor,No,Yes,Yes,Not specified,No,No,No,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 June 2024,12.350 kr.,800 kr.,37.050 kr.,12.350 kr.,62.550 kr.,21/03/2024,5369463,"Lyskær, 2730 København, Herlev  - Ground floor"
Townhouse,87 m²,3.0,-,No,No,Yes,Not specified,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 May 2024,13.330 kr.,,39.990 kr.,13.330 kr.,66.650 kr.,21/03/2024,5356867,"Skjeberg Allé, 2630 København, Taastrup "
Apartment,66 m²,2.0,3rd ,No,Yes,Yes,Not specified,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 June 2024,10.250 kr.,800 kr.,30.750 kr.,10.250 kr.,52.050 kr.,21/03/2024,5301591,"Lyskær, 2730 København, Herlev  - 3rd floor"
Apartment,98 m²,3.0,1st ,No,No,Yes,Not specified,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,As soon as possible,13.330 kr.,,39.990 kr.,13.330 kr.,66.650 kr.,21/03/2024,5405255,"Skjeberg Allé, 2630 København, Taastrup  - 1st floor"
Apartment,108 m²,3.0,4th ,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,13.487 kr.,840 kr.,40.461 kr.,13.487 kr.,68.275 kr.,21/03/2024,5425791,"Amalieparken, 2665 København, Vallensbæk Strand  - 4th floor"
Apartment,103 m²,3.0,3rd ,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,13.200 kr.,1.480 kr.,39.600 kr.,13.200 kr.,67.480 kr.,21/03/2024,5425788,"Margrethevænget, 2665 København, Vallensbæk Strand  - 3rd floor"
Apartment,142 m²,4.0,2nd ,No,No,No,Yes,Not specified,Not specified,Yes,Yes,Not specified,Not specified,No,Not specified,-,Unlimited,15 July 2024,30.400 kr.,1.550 kr.,91.200 kr.,30.400 kr.,153.550 kr.,21/03/2024,5199630,"Tuborg Bakkedrag, 2900 København, Hellerup  - 2nd floor"
Apartment,100 m²,4.0,Ground floor,No,Yes,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,1-11 months,1 September 2024,22.000 kr.,0 kr.,22.000 kr.,22.000 kr.,66.000 kr.,21/03/2024,5427722,"Løgstørgade, 2100 København, København Ø  - Ground floor"
Apartment,154 m²,5.0,1st ,No,No,No,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 May 2024,23.000 kr.,1.400 kr.,69.000 kr.,69.000 kr.,162.400 kr.,21/03/2024,5427716,"Virginiavej, 2000 København, Frederiksberg  - 1st floor"
Apartment,71 m²,3.0,5th ,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,14.300 kr.,700 kr.,42.900 kr.,14.300 kr.,72.200 kr.,21/03/2024,5427710,"Martha Christensens Vej, 2300 København, København S  - 5th floor"
Apartment,63 m²,2.0,4th ,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,12.700 kr.,650 kr.,38.100 kr.,12.700 kr.,64.150 kr.,21/03/2024,5427709,"Martha Christensens Vej, 2300 København, København S  - 4th floor"
Apartment,49 m²,2.0,6th ,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,13.000 kr.,600 kr.,39.000 kr.,13.000 kr.,65.600 kr.,21/03/2024,5427708,"Martha Christensens Vej, 2300 København, København S  - 6th floor"
Apartment,110 m²,4.0,1st ,No,Yes,No,No,No,No,No,No,No,No,No,No,,24+ months,As soon as possible,15.500 kr.,1.500 kr.,31.000 kr.,15.500 kr.,63.500 kr.,21/03/2024,5395702,"Frankrigsgade, 2300 København, København S  - 1st floor"
Apartment,94 m²,3.0,2nd ,No,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,13.062 kr.,800 kr.,39.186 kr.,13.062 kr.,66.110 kr.,21/03/2024,5074207,"Centrumgaden, 2750 København, Ballerup  - 2nd floor"
Apartment,113 m²,3.0,2nd ,No,No,Yes,Yes,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,13.400 kr.,,40.200 kr.,13.400 kr.,67.000 kr.,21/03/2024,5427608,"Nordmarks Alle, 2620 København, Albertslund  - 2nd floor"
Apartment,96 m²,2.0,2nd ,No,No,Yes,Yes,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,12.400 kr.,,37.200 kr.,12.400 kr.,62.000 kr.,21/03/2024,5427607,"Nordmarks Alle, 2620 København, Albertslund  - 2nd floor"
Room,13 m²,1.0,-,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Not specified,-,Unlimited,1 May 2024,4.500 kr.,0 kr.,13.500 kr.,4.500 kr.,22.500 kr.,21/03/2024,1556517,"Runebergs Alle, 2860 København, Søborg "
Apartment,84 m²,2.0,1st ,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,15.950 kr.,910 kr.,47.850 kr.,15.950 kr.,80.660 kr.,21/03/2024,5427586,"Amerika Plads, 2100 København, København Ø  - 1st floor"
Apartment,106 m²,5.0,1st ,No,No,Yes,No,Not specified,Not specified,No,No,Yes,Yes,Yes,Yes,,Unlimited,1 June 2024,16.600 kr.,1.200 kr.,49.800 kr.,16.600 kr.,84.200 kr.,21/03/2024,5229303,"Richard Mortensens Vej, 2300 København, København S  - 1st floor"
Apartment,123 m²,3.0,4th ,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,-,12-23 months,As soon as possible,18.900 kr.,1.250 kr.,56.700 kr.,0 kr.,76.850 kr.,21/03/2024,5383014,"Dyrkøb, 1166 København, København K  - 4th floor"
Apartment,28 m²,1.0,1st ,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,,Unlimited,30 April 2024,9.000 kr.,400 kr.,9.000 kr.,27.000 kr.,45.400 kr.,21/03/2024,5427569,"Njalsgade, 2300 København, København S  - 1st floor"
Apartment,31 m²,1.0,1st ,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,30 April 2024,7.800 kr.,750 kr.,23.400 kr.,7.800 kr.,39.750 kr.,21/03/2024,5236563,"Vanløse Allé, 2720 København, Vanløse  - 1st floor"
Apartment,125 m²,4.0,1st ,No,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,18.995 kr.,450 kr.,56.985 kr.,18.995 kr.,95.425 kr.,21/03/2024,5406526,"Karen Schacks Vej, 2800 København, Kongens Lyngby  - 1st floor"
House,90 m²,3.0,-,Yes,No,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,Not specified,Yes,-,1-11 months,1 July 2024,17.900 kr.,3.140 kr.,53.700 kr.,0 kr.,74.740 kr.,21/03/2024,5332510,"Holmevej, 2860 København, Søborg "
Townhouse,140 m²,5.0,-,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 June 2024,18.490 kr.,1.200 kr.,55.470 kr.,18.490 kr.,93.650 kr.,21/03/2024,5427549,"Lykkens Minde, 2860 København, Søborg "
Apartment,90 m²,3.0,6th ,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,12.200 kr.,1.000 kr.,36.600 kr.,12.200 kr.,62.000 kr.,21/03/2024,5427547,"Bornholms Allé, 2630 København, Taastrup  - 6th floor"
Apartment,85 m²,3.0,6th ,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,12.000 kr.,1.000 kr.,36.000 kr.,12.000 kr.,61.000 kr.,21/03/2024,5427546,"Høje Taastrup Boulevard, 2630 København, Taastrup  - 6th floor"
Apartment,68 m²,2.0,4th ,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,11.200 kr.,800 kr.,33.600 kr.,11.200 kr.,56.800 kr.,21/03/2024,5427545,"Bornholms Allé, 2630 København, Taastrup  - 4th floor"
Apartment,79 m²,3.0,2nd ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 July 2024,10.900 kr.,900 kr.,32.700 kr.,10.900 kr.,55.400 kr.,21/03/2024,5427544,"Spættevangen, 2635 København, Ishøj  - 2nd floor"
Room,21 m²,1.0,5th ,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,,Unlimited,1 May 2024,7.000 kr.,0 kr.,21.000 kr.,7.000 kr.,35.000 kr.,21/03/2024,5409055,"Store Kongensgade, 1264 København, København K  - 5th floor"
Apartment,132 m²,5.0,4th ,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,16.500 kr.,800 kr.,49.500 kr.,33.000 kr.,99.800 kr.,21/03/2024,4756361,"Oldermandsvej, 2400 København, København NV  - 4th floor"
Apartment,105 m²,3.0,7th ,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,1-11 months,15 April 2024,21.000 kr.,1.000 kr.,4.200 kr.,0 kr.,26.200 kr.,21/03/2024,5427532,"Vester Søgade, 1601 København, København V  - 7th floor"
Apartment,200 m²,5.0,3rd ,No,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,Unlimited,As soon as possible,26.600 kr.,1.500 kr.,76.800 kr.,51.200 kr.,156.100 kr.,21/03/2024,5427529,"Bülowsvej, 1870 København, Frederiksberg C  - 3rd floor"
Apartment,106 m²,4.0,4th ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 May 2024,13.800 kr.,1.300 kr.,41.400 kr.,13.800 kr.,70.300 kr.,21/03/2024,5427430,"Torbenfeldvej, 2665 København, Vallensbæk Strand  - 4th floor"
Room,25 m²,1.0,1st ,Yes,Yes,No,No,No,No,No,Yes,Not specified,Not specified,Not specified,Not specified,-,12-23 months,As soon as possible,4.000 kr.,0 kr.,0 kr.,4.000 kr.,8.000 kr.,21/03/2024,5427380,"Christian II's Allé, 2300 København, København S  - 1st floor"
Room,13 m²,1.0,5th ,No,No,No,No,No,No,No,No,Yes,Not specified,Not specified,Not specified,,Unlimited,As soon as possible,5.500 kr.,0 kr.,11.000 kr.,5.500 kr.,22.000 kr.,21/03/2024,5427357,"Svinget, 2300 København, København S  - 5th floor"
Apartment,98 m²,3.0,1st ,No,No,Yes,Not specified,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 June 2024,13.330 kr.,,39.990 kr.,13.330 kr.,66.650 kr.,21/03/2024,5427393,"Skjeberg Allé, 2630 København, Taastrup  - 1st floor"
Apartment,96 m²,3.0,1st ,No,Yes,Yes,Not specified,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,As soon as possible,13.585 kr.,500 kr.,40.755 kr.,13.585 kr.,68.425 kr.,21/03/2024,5427392,"Vestervej, 2630 København, Taastrup  - 1st floor"
Apartment,81 m²,3.0,Ground floor,No,Yes,Yes,Not specified,No,No,No,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,12.150 kr.,800 kr.,36.450 kr.,12.150 kr.,61.550 kr.,21/03/2024,5427391,"Lyskær, 2730 København, Herlev  - Ground floor"
Apartment,86 m²,3.0,2nd ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 July 2024,11.600 kr.,1.000 kr.,34.800 kr.,11.600 kr.,59.000 kr.,21/03/2024,5427389,"Spættevangen, 2635 København, Ishøj  - 2nd floor"
Apartment,82 m²,3.0,3rd ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 July 2024,11.500 kr.,950 kr.,34.500 kr.,11.500 kr.,58.450 kr.,21/03/2024,5427388,"Spættevangen, 2635 København, Ishøj  - 3rd floor"
Apartment,108 m²,4.0,2nd ,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,1 June 2024,15.200 kr.,1.000 kr.,30.400 kr.,15.200 kr.,61.800 kr.,21/03/2024,5232474,"Alleen, 2770 København, Kastrup  - 2nd floor"
Apartment,96 m²,4.0,2nd ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,1 May 2024,13.350 kr.,1.100 kr.,40.050 kr.,13.350 kr.,67.850 kr.,21/03/2024,5427386,"Elektronikvej, 2605 København, Brøndby  - 2nd floor"
Apartment,92 m²,4.0,Ground floor,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,1 May 2024,12.600 kr.,1.050 kr.,37.800 kr.,12.600 kr.,64.050 kr.,21/03/2024,5393802,"Mekanikvej, 2605 København, Brøndby  - Ground floor"
Apartment,94 m²,4.0,3rd ,No,No,Yes,No,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,As soon as possible,12.500 kr.,1.000 kr.,37.500 kr.,12.500 kr.,63.500 kr.,21/03/2024,4906233,"Sporstræde, 2640 København, Hedehusene  - 3rd floor"
Apartment,80 m²,2.0,3rd ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,1 May 2024,13.995 kr.,850 kr.,41.985 kr.,13.995 kr.,70.825 kr.,21/03/2024,5222631,"Amager Strandvej, 2300 København, København S  - 3rd floor"
Room,14 m²,1.0,-,No,No,No,Not specified,No,Not specified,Yes,Yes,Yes,Yes,Not specified,Not specified,,Unlimited,As soon as possible,5.500 kr.,0 kr.,11.000 kr.,5.500 kr.,22.000 kr.,21/03/2024,4060832,"Havrens Kvt, 2620 København, Albertslund "
Room,31 m²,1.0,4th ,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,,1-11 months,As soon as possible,8.500 kr.,0 kr.,8.500 kr.,8.500 kr.,25.500 kr.,21/03/2024,5427350,"Nørrebrogade, 2200 København, København N  - 4th floor"
Apartment,84 m²,3.0,1st ,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,24+ months,1 July 2024,12.500 kr.,1.500 kr.,25.000 kr.,0 kr.,39.000 kr.,21/03/2024,5152888,"Stubmøllevej, 2450 København, København SV  - 1st floor"
Apartment,99 m²,3.0,4th ,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 June 2024,16.200 kr.,1.100 kr.,48.600 kr.,16.200 kr.,82.100 kr.,20/03/2024,5423313,"Søborg Hovedgade, 2860 København, Søborg  - 4th floor"
Apartment,100 m²,3.0,3rd ,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 June 2024,16.994 kr.,650 kr.,50.982 kr.,16.994 kr.,85.620 kr.,20/03/2024,5094451,"Telemarksgade, 2300 København, København S  - 3rd floor"
Apartment,55 m²,2.0,2nd ,No,No,No,No,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,-,12-23 months,As soon as possible,11.200 kr.,1.020 kr.,33.600 kr.,11.200 kr.,57.020 kr.,20/03/2024,5284404,"Skovkrogen, 2920 København, Charlottenlund  - 2nd floor"
Apartment,94 m²,3.0,Ground floor,Yes,No,No,Yes,Not specified,Not specified,Yes,No,Not specified,Not specified,No,Not specified,-,24+ months,As soon as possible,18.500 kr.,910 kr.,55.500 kr.,,74.910 kr.,20/03/2024,5427274,"Margrethevej, 2900 København, Hellerup  - Ground floor"
Apartment,118 m²,3.0,3rd ,No,No,No,No,Not specified,Not specified,Yes,No,Not specified,Not specified,No,Not specified,-,24+ months,As soon as possible,21.000 kr.,550 kr.,63.000 kr.,,84.550 kr.,20/03/2024,5427273,"Sølvgade, 1307 København, København K  - 3rd floor"
Apartment,92 m²,4.0,1st ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,13.400 kr.,850 kr.,40.200 kr.,13.400 kr.,67.850 kr.,20/03/2024,5427263,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - 1st floor"
Apartment,58 m²,2.0,2nd ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,10.100 kr.,600 kr.,30.300 kr.,10.100 kr.,51.100 kr.,20/03/2024,5427262,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - 2nd floor"
Apartment,91 m²,3.0,2nd ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,12.700 kr.,,38.100 kr.,12.700 kr.,63.500 kr.,20/03/2024,5427261,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - 2nd floor"
Apartment,114 m²,4.0,Ground floor,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,14.750 kr.,1.100 kr.,44.250 kr.,14.750 kr.,74.850 kr.,20/03/2024,5427260,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - Ground floor"
Apartment,95 m²,3.0,4th ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,12.900 kr.,950 kr.,38.700 kr.,12.900 kr.,65.450 kr.,20/03/2024,5427259,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - 4th floor"
Apartment,57 m²,2.0,4th ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,10.400 kr.,600 kr.,31.200 kr.,10.400 kr.,52.600 kr.,20/03/2024,5427258,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - 4th floor"
Apartment,123 m²,5.0,Ground floor,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,15.850 kr.,1.200 kr.,47.550 kr.,15.850 kr.,80.450 kr.,20/03/2024,5427257,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - Ground floor"
Apartment,95 m²,3.0,1st ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,12.400 kr.,950 kr.,37.200 kr.,12.400 kr.,62.950 kr.,20/03/2024,5427256,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - 1st floor"
Apartment,57 m²,2.0,1st ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,9.900 kr.,600 kr.,29.700 kr.,9.900 kr.,50.100 kr.,20/03/2024,5427255,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - 1st floor"
Apartment,107 m²,4.0,Ground floor,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 June 2024,14.950 kr.,1.000 kr.,44.850 kr.,14.950 kr.,75.750 kr.,20/03/2024,5427254,"Rosenfeldtvej, 2665 København, Vallensbæk Strand  - Ground floor"
Apartment,192 m²,6.0,2nd ,No,Yes,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,,12-23 months,As soon as possible,31.700 kr.,2.170 kr.,95.100 kr.,31.700 kr.,160.670 kr.,20/03/2024,5427190,"Åbenrå, 1124 København, København K  - 2nd floor"
Townhouse,119 m²,5.0,-,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,15.470 kr.,0 kr.,46.410 kr.,15.470 kr.,77.350 kr.,20/03/2024,5242132,"Promenaden, 2625 København, Vallensbæk "
Apartment,108 m²,4.0,1st ,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,1-11 months,As soon as possible,13.820 kr.,900 kr.,27.640 kr.,13.820 kr.,56.180 kr.,20/03/2024,5426980,"Vejlesvinget, 2665 København, Vallensbæk Strand  - 1st floor"
