Property Type,Size(m²),Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior friendly,Students only,Balcony,Parking,Dishwasher,Washing machine,Electric charging station,Dryer,Energy rating,Rental period,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,Listing-id,Adress,district
Apartment,64,2,2,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,12285,813,36855,12285,62238,15/03/2024,5355742,"Robert Jacobsens Vej, 2300 København, København S  - 2nd floor",København S
Townhouse,118,5,0,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 April 2024,17954,1405,53862,17954,91175,15/03/2024,5426095,"Richard Mortensens Vej, 2300 København, København S ",København S
Townhouse,123,5,0,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 June 2024,16881,1384,50643,16881,85789,15/03/2024,5346885,"Robert Jacobsens Vej, 2300 København, København S ",København S
Apartment,94,4,1,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 June 2024,16000,1000,48000,32000,97000,14/03/2024,5426038,"Alliancevej, 2450 København, København SV  - 1st floor",København SV
Townhouse,128,5,0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,1 May 2024,49500,0,148500,49500,247500,14/03/2024,5425898,"Otto Brandenburgs Vej, 2450 København, København SV ",København SV
Apartment,92,3,5,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 June 2024,15400,1000,46200,15400,78000,14/03/2024,5326758,"Else Alfelts Vej, 2300 København, København S  - 5th floor",København S
Apartment,71,3,2,No,Yes,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,9450,700,28350,9450,47950,14/03/2024,5426002,"Jyllingevej, 2720 København, Vanløse  - 2nd floor",Vanløse
Apartment,85,2,5,No,No,No,No,No,No,Yes,No,No,No,No,No,,Unlimited,As soon as possible,13800,900,41400,13800,69900,14/03/2024,4608580,"Axel Heides Gade, 2300 København, København S  - 5th floor",København S
Apartment,88,3,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,1 May 2024,12495,1000,37485,12495,63475,14/03/2024,5425986,"Mekanikvej, 2605 København, Brøndby  - 1st floor",Brøndby
Apartment,110,4,1,No,No,No,Yes,Not specified,Not specified,Yes,Yes,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,16150,1200,48450,48450,114250,14/03/2024,5360838,"Vestre Teglgade, 2450 København, København SV  - 1st floor",København SV
Apartment,85,3,2,No,No,No,Yes,Not specified,Not specified,Yes,Yes,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,14150,1000,42450,42450,100050,14/03/2024,5425983,"Vestre Teglgade, 2450 København, København SV  - 2nd floor",København SV
Apartment,100,4,6,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,-,Unlimited,1 April 2024,15000,825,45000,15000,75825,14/03/2024,5425979,"Hannemanns Allé, 2300 København, København S  - 6th floor",København S
Apartment,70,3,1,No,Yes,Yes,No,No,No,Yes,Yes,Not specified,Not specified,No,Not specified,,Unlimited,15 June 2024,12145,1000,36435,12145,61725,14/03/2024,5425978,"Damhus Boulevard, 2610 København, Rødovre  - 1st floor",Rødovre
Apartment,79,3,1,No,Yes,Yes,No,No,No,Yes,Yes,Not specified,Not specified,No,Not specified,,Unlimited,15 June 2024,12900,1000,38700,12900,65500,14/03/2024,5425977,"Damhus Boulevard, 2610 København, Rødovre  - 1st floor",Rødovre
Apartment,79,3,1,No,Yes,Yes,No,No,No,Yes,Yes,Not specified,Not specified,No,Not specified,,Unlimited,15 June 2024,12900,1000,38700,12900,65500,14/03/2024,5425976,"Damhus Boulevard, 2610 København, Rødovre  - 1st floor",Rødovre
Apartment,79,3,1,No,Yes,Yes,No,No,No,Yes,Yes,Not specified,Not specified,No,Not specified,,Unlimited,15 June 2024,12900,1000,38700,12900,65500,14/03/2024,5425975,"Damhus Boulevard, 2610 København, Rødovre  - 1st floor",Rødovre
Apartment,98,3,2,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,,Unlimited,As soon as possible,13700,790,41100,13700,69290,14/03/2024,5425974,"Hannemanns Allé, 2300 København, København S  - 2nd floor",København S
Room,10,1,0,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,,Unlimited,As soon as possible,4600,900,13800,4600,23900,29/12/2023,5408986,"Buddingevej, 2800 København, Kongens Lyngby ",Kongens Lyngby
Apartment,109,4,3,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,-,Unlimited,1 May 2024,15100,870,45300,15100,76370,14/03/2024,5425971,"Hannemanns Allé, 2300 København, København S  - 3rd floor",København S
Apartment,100,4,5,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,-,Unlimited,1 May 2024,15000,825,44100,14700,74625,14/03/2024,5425970,"Hannemanns Allé, 2300 København, København S  - 5th floor",København S
Apartment,101,4,5,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,15200,1185,45600,15200,77185,14/03/2024,5425968,"Hannemanns Allé, 2300 København, København S  - 5th floor",København S
Apartment,118,4,0,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Not specified,Yes,-,Unlimited,1 May 2024,16500,993,49500,16500,83493,14/03/2024,5425967,"Rødovre Port, 2610 København, Rødovre ",Rødovre
Apartment,96,4,3,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,15000,1155,45000,15000,76155,14/03/2024,5425966,"Hannemanns Allé, 2300 København, København S  - 3rd floor",København S
Apartment,101,4,4,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,15100,800,45300,15100,76300,14/03/2024,5425963,"Hannemanns Allé, 2300 København, København S  - 4th floor",København S
Apartment,146,3,0,No,No,No,No,No,No,No,Yes,Yes,Yes,Not specified,Yes,,Unlimited,1 July 2024,24000,1500,72000,24000,121500,14/03/2024,5425962,"Ahlmanns Alle, 2900 København, Hellerup ",Hellerup
Apartment,162,6,1,No,No,No,No,No,No,No,No,No,No,No,No,-,Unlimited,1 April 2024,23220,1100,69660,23220,117200,14/03/2024,5425961,"Upsalagade, 2100 København, København Ø  - 1st floor",København Ø
Apartment,65,2,1,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,1 April 2024,10400,700,31200,10400,52700,14/03/2024,5425943,"Elektronikvej, 2605 København, Brøndby  - 1st floor",Brøndby
Apartment,95,3,2,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,1 August 2024,13600,1100,40800,13600,69100,06/03/2024,5424256,"Grannålen, 2600 København, Glostrup  - 2nd floor",Glostrup
Apartment,31,1,2,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,,Unlimited,31 May 2024,7600,735,22800,7600,38735,14/03/2024,5425940,"Gl. Køge Landevej, 2500 København, Valby  - 2nd floor",Valby
Apartment,71,3,1,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,30 April 2024,13450,750,40350,13450,68000,14/03/2024,4691514,"Else Alfelts Vej, 2300 København, København S  - 1st floor",København S
Apartment,35,1,2,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,-,Unlimited,30 April 2024,8300,500,24900,8300,42000,14/03/2024,5425939,"Irlandsvej, 2300 København, København S  - 2nd floor",København S
Apartment,104,3,2,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,Unlimited,1 May 2024,14350,950,43050,14350,72700,14/03/2024,4515853,"Tinghøjvej, 2860 København, Søborg  - 2nd floor",Søborg
Apartment,109,3,2,No,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,Unlimited,1 May 2024,14537,500,43611,14537,73185,14/03/2024,5425930,"Søborg Hovedgade, 2860 København, Søborg  - 2nd floor",Søborg
Apartment,124,4,4,No,Yes,Yes,No,Yes,No,No,Yes,Not specified,Not specified,Not specified,Not specified,,Unlimited,As soon as possible,17950,2100,53850,17950,91850,14/03/2024,5425926,"Lyngby Hovedgade, 2800 København, Kongens Lyngby  - 4th floor",Kongens Lyngby
Apartment,53,2,3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,31 May 2024,10900,800,32700,10900,55300,14/03/2024,5425911,"Gadelandet, 2700 København, Brønshøj  - 3rd floor",Brønshøj
Apartment,37,1,3,No,No,No,Yes,No,No,No,Yes,No,No,No,No,-,Unlimited,15 May 2024,8995,500,26985,8995,45475,14/03/2024,5425904,"Nordre Fasanvej, 2000 København, Frederiksberg  - 3rd floor",Frederiksberg
Apartment,55,2,0,No,Yes,Yes,No,No,No,Yes,Yes,Not specified,Yes,Not specified,Not specified,,12-23 months,As soon as possible,9000,1000,27000,0,37000,14/03/2024,5425903,"Solsortevej, 2600 København, Glostrup ",Glostrup
Townhouse,128,5,0,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 June 2024,16757,2080,50271,16757,85865,14/03/2024,5425892,"Robert Jacobsens Vej, 2300 København, København S ",København S
Apartment,32,1,4,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,31 May 2024,9800,900,29400,9800,49900,14/03/2024,5425890,"Finsensvej, 2000 København, Frederiksberg  - 4th floor",Frederiksberg
Apartment,29,1,0,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,31 May 2024,7500,750,22500,7500,38250,14/03/2024,5274455,"Finsensvej, 2000 København, Frederiksberg  - Ground floor",Frederiksberg
Apartment,29,2,5,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,31 March 2024,9900,650,29700,9900,50150,14/03/2024,5343898,"Finsensvej, 2000 København, Frederiksberg  - 5th floor",Frederiksberg
Apartment,32,1,1,No,No,No,Yes,No,No,Yes,No,No,No,No,No,-,Unlimited,1 April 2024,8000,500,24000,8000,40500,14/03/2024,5425888,"Gammel Jernbanevej, 2500 København, Valby  - 1st floor",Valby
Apartment,32,1,2,No,No,No,Yes,No,No,Yes,No,No,No,No,No,-,Unlimited,15 May 2024,8000,500,24000,8000,40500,14/03/2024,5425886,"Gammel Jernbanevej, 2500 København, Valby  - 2nd floor",Valby
Apartment,129,3,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,-,24+ months,As soon as possible,19900,,59700,,79600,14/03/2024,5425876,"Pakhusvej, 2100 København, København Ø  - 1st floor",København Ø
House,136,4,0,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,-,24+ months,1 April 2024,29000,,87000,,116000,14/03/2024,5357868,"Tuborgvej, 2900 København, Hellerup ",Hellerup
Room,12,1,2,No,No,No,No,No,Yes,No,No,Not specified,Not specified,Not specified,Not specified,,Unlimited,8 May 2024,5000,0,15000,0,20000,14/03/2024,5375940,"Worsaaesvej, 1972 København, Frederiksberg C  - 2nd floor",Frederiksberg C
Apartment,63,2,0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,1 May 2024,10950,700,32850,10950,55450,14/03/2024,5419151,"Børge Olsens Plads, 2610 København, Rødovre ",Rødovre
Room,24,2,0,Yes,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,Unlimited,As soon as possible,6500,300,6500,6500,19800,14/03/2024,5425809,"Sortedam Dossering, 2100 København, København Ø  - Ground floor",København Ø
Apartment,93,3,0,No,No,No,No,Yes,No,Yes,Yes,Not specified,Not specified,Not specified,Not specified,,12-23 months,1 May 2024,8500,800,25500,8500,43300,14/03/2024,5425779,"Lejrevej, 2700 København, Brønshøj ",Brønshøj
Apartment,81,4,3,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,,1-11 months,1 July 2024,18000,1000,18000,18000,55000,14/03/2024,5425545,"Absalonsgade, 1658 København, København V  - 3rd floor",København V
Apartment,93,4,1,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 May 2024,12300,900,36900,12300,62400,14/03/2024,5192427,"Dræsinen, 2640 København, Hedehusene  - 1st floor",Hedehusene
Apartment,63,2,0,No,No,Yes,No,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 May 2024,9700,700,29100,9700,49200,14/03/2024,4958594,"Sporstræde, 2640 København, Hedehusene  - Ground floor",Hedehusene
Room,10,1,3,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Not specified,Yes,,Unlimited,1 April 2024,5300,0,0,15900,21200,14/03/2024,5425843,"Vesterbrogade, 1620 København, København V  - 3rd floor",København V
Apartment,137,3,5,No,No,No,No,Not specified,Not specified,No,No,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,20400,1200,61200,61200,144000,14/03/2024,5396722,"Amager Boulevard, 2300 København, København S  - 5th floor",København S
Apartment,62,3,0,No,No,No,No,No,No,No,Yes,Yes,Not specified,Not specified,Not specified,,Unlimited,1 April 2024,8200,900,24600,24600,58300,14/03/2024,5425841,"Taastrup Hovedgade, 2630 København, Taastrup  - Ground floor",Taastrup
Apartment,61,2,0,Yes,No,Yes,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,12-23 months,7 April 2024,12700,500,12700,12700,38600,14/03/2024,5259834,"Arkonagade, 1726 København, København V  - Ground floor",København V
Room,14,1,0,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Not specified,No,-,1-11 months,As soon as possible,4300,0,0,4300,8600,14/03/2024,5028736,"Kongelundsvej, 2300 København, København S ",København S
Room,15,1,0,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,12-23 months,As soon as possible,2500,0,0,0,2500,14/03/2024,5425785,"Peder Hjorts Vej, 2500 København, Valby  - Ground floor",Valby
Apartment,44,2,1,No,No,No,No,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,,12-23 months,As soon as possible,8000,600,24000,8000,40600,14/03/2024,5337288,"Nørgaardsvej, 2800 København, Kongens Lyngby  - 1st floor",Kongens Lyngby
Apartment,86,3,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,1 August 2024,12900,1000,38700,12900,65500,06/03/2024,5424253,"Grannålen, 2600 København, Glostrup  - Ground floor",Glostrup
Apartment,100,4,4,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 April 2024,15500,700,46500,0,62700,14/03/2024,5425825,"Frederikssundsvej, 2400 København, København NV  - 4th floor",København NV
Apartment,31,1,2,No,No,No,No,No,No,No,No,Not specified,No,Not specified,Not specified,,Unlimited,1 May 2024,7556,500,22668,7556,38280,14/03/2024,5318899,"Gammel Køge Landevej, 2650 København, Hvidovre  - 2nd floor",Hvidovre
Apartment,86,2,4,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,,24+ months,As soon as possible,18200,1050,54600,54600,128450,13/03/2024,5399191,"Studiestræde, 1455 København, København K  - 4th floor",København K
Apartment,174,6,1,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,-,12-23 months,15 April 2024,26500,,79500,26500,132500,13/03/2024,5278226,"Dyssegårdsvej, 2870 København, Dyssegård  - 1st floor",Dyssegård
Apartment,108,3,4,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,13487,840,40461,13487,68275,13/03/2024,5425791,"Amalieparken, 2665 København, Vallensbæk Strand  - 4th floor",Vallensbæk Strand
Apartment,103,3,3,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,13200,1480,39600,13200,67480,13/03/2024,5425788,"Margrethevænget, 2665 København, Vallensbæk Strand  - 3rd floor",Vallensbæk Strand
Apartment,128,4,5,No,No,Yes,No,No,No,No,No,No,No,No,No,-,Unlimited,As soon as possible,15350,1053,46050,15350,77803,13/03/2024,4970185,"Margrethevænget, 2665 København, Vallensbæk Strand  - 5th floor",Vallensbæk Strand
Apartment,117,3,5,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,Unlimited,As soon as possible,14800,2000,44400,14800,76000,13/03/2024,5401429,"Margrethevænget, 2665 København, Vallensbæk Strand  - 5th floor",Vallensbæk Strand
Room,16,1,0,No,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,6200,300,10000,0,16500,13/03/2024,5267008,"Kong Oscars Gade, 2100 København, København Ø  - Ground floor",København Ø
Apartment,29,1,1,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,,Unlimited,31 May 2024,7900,600,23700,7900,40100,13/03/2024,5332264,"Poul Bundgaards Vej, 2500 København, Valby  - 1st floor",Valby
Apartment,149,4,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,14 June 2024,29900,1650,89700,29900,151150,13/03/2024,5050246,"Tuborg Bakkedrag, 2900 København, Hellerup  - 1st floor",Hellerup
House,175,4,0,No,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,-,24+ months,15 April 2024,38000,1500,114000,,153500,13/03/2024,5306909,"lemchesvej, 2900 København, Hellerup ",Hellerup
Apartment,33,1,3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,14 May 2024,7500,500,22500,7500,38000,13/03/2024,5425777,"Kobbelvænget, 2700 København, Brønshøj  - 3rd floor",Brønshøj
Apartment,31,1,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,31 May 2024,7300,500,21900,7300,37000,13/03/2024,5425776,"Kobbelvænget, 2700 København, Brønshøj  - 1st floor",Brønshøj
Apartment,77,3,3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,31 May 2024,12200,850,36600,12200,61850,13/03/2024,5286771,"Mejsevangen, 2635 København, Ishøj  - 3rd floor",Ishøj
Apartment,95,4,2,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,30 September 2024,16700,900,50100,16700,84400,13/03/2024,4823450,"Thoras Vænge, 2950 København, Vedbæk  - 2nd floor",Vedbæk
Apartment,39,1,3,No,No,No,Yes,No,No,No,No,Yes,No,No,No,-,Unlimited,15 June 2024,8495,500,25485,25485,59965,13/03/2024,5362982,"Smedetoften, 2400 København, København NV  - 3rd floor",København NV
Apartment,92,3,1,No,No,No,Yes,Not specified,No,Yes,Yes,Not specified,Not specified,No,Not specified,-,Unlimited,1 May 2024,13300,410,39900,13300,66910,13/03/2024,5166502,"Ingrid Marievej, 2500 København, Valby  - 1st floor",Valby
Apartment,51,2,1,Yes,No,No,No,No,No,No,No,Yes,Yes,Not specified,Not specified,-,1-11 months,1 April 2024,10200,800,30600,10200,51800,13/03/2024,5371518,"Århusgade, 2100 København, København Ø  - 1st floor",København Ø
Apartment,59,2,1,No,Yes,No,No,No,No,Yes,Yes,Not specified,Yes,Not specified,Yes,,Unlimited,15 April 2024,8500,500,25000,8500,42500,13/03/2024,5425742,"Taastrup Have, 2630 København, Taastrup  - 1st floor",Taastrup
Apartment,106,3,5,No,No,No,Not specified,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,No,Not specified,-,Unlimited,1 April 2024,22900,1000,68700,68700,161300,13/03/2024,4552815,"Langelands Plads, 2000 København, Frederiksberg  - 5th floor",Frederiksberg
Apartment,92,4,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,1 April 2024,13000,1050,39000,13000,66050,13/03/2024,5425761,"Mekanikvej, 2605 København, Brøndby  - 1st floor",Brøndby
Apartment,92,4,5,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,Unlimited,15 April 2024,15750,700,47250,15750,79450,13/03/2024,5425750,"Artillerivej, 2300 København, København S  - 5th floor",København S
Apartment,101,4,2,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,Unlimited,1 July 2024,16200,1050,48600,16200,82050,13/03/2024,5425749,"Montagehalsvej, 2500 København, Valby  - 2nd floor",Valby
Apartment,70,2,0,Yes,No,No,Yes,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,-,1-11 months,14 April 2024,10500,0,0,10500,21000,12/03/2024,3980715,"Torvegade, 1400 København, København K ",København K
Apartment,112,4,5,No,No,No,Yes,Not specified,Not specified,Yes,Yes,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,18700,1200,56100,56100,132100,13/03/2024,5425739,"Vestre Teglgade, 2450 København, København SV  - 5th floor",København SV
Apartment,146,4,1,No,No,No,Yes,Not specified,Not specified,Yes,No,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,19893,900,59679,59679,140151,13/03/2024,3571050,"Hyldegårds Tværvej, 2920 København, Charlottenlund  - 1st floor",Charlottenlund
Apartment,89,3,1,No,No,No,No,No,No,Yes,No,No,No,No,No,,Unlimited,As soon as possible,14250,1285,42750,14250,72535,13/03/2024,5425728,"Ellegårdsvej, 2820 København, Gentofte  - 1st floor",Gentofte
Apartment,35,1,3,Yes,No,No,No,No,No,Yes,Yes,Not specified,Not specified,Not specified,Not specified,,1-11 months,As soon as possible,8000,1000,5000,0,14000,13/03/2024,5359471,"Leen A, 2630 København, Taastrup  - 3rd floor",Taastrup
Room,9,1,4,No,No,No,No,No,No,No,No,No,No,No,No,,Unlimited,1 May 2024,3600,0,7500,0,11100,13/03/2024,5338831,"Rosenørns Alle, 1970 København, Frederiksberg C  - 4th floor",Frederiksberg C
Apartment,101,4,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,1-11 months,15 April 2024,16500,500,49500,16500,83000,13/03/2024,5288362,"Bag Elefanterne, 1799 København, København V  - Ground floor",København V
Apartment,83,3,2,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,11700,950,35100,11700,59450,11/03/2024,5425177,"Bornholms Allé, 2630 København, Taastrup  - 2nd floor",Taastrup
Apartment,74,2,2,No,No,Yes,No,Yes,No,Yes,Yes,Not specified,Not specified,Not specified,Not specified,,Unlimited,1 April 2024,10252,900,30756,10252,52160,13/03/2024,5425686,"Søgræsgade, 2640 København, Hedehusene  - 2nd floor",Hedehusene
Apartment,40,1,0,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,1 April 2024,8900,585,17800,0,27285,13/03/2024,5406680,"Else Alfelts Vej, 2300 København, København S ",København S
Apartment,40,1,1,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,1 April 2024,9500,585,19000,0,29085,13/03/2024,5416711,"Else Alfelts Vej, 2300 København, København S  - 1st floor",København S
Apartment,55,2,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,1 May 2024,10150,500,30450,10150,51250,13/03/2024,5425677,"Torvevej, 2740 København, Skovlunde  - Ground floor",Skovlunde
Apartment,62,2,2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,11700,800,35100,11700,59300,13/03/2024,5340410,"Else Alfelts Vej, 2300 København, København S  - 2nd floor",København S
Apartment,100,2,3,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,-,12-23 months,As soon as possible,35000,35000,105000,105000,280000,13/03/2024,5425653,"Lille Kongensgade, 1074 København, København K  - 3rd floor",København K
Apartment,180.4,5,3,No,No,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,-,Unlimited,1 April 2024,18000,1500,54000,54000,127500,13/03/2024,5425641,"Nordre Frihavnsgade, 2100 København, København Ø  - 3rd floor",København Ø
Apartment,54,2,0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Not specified,,Unlimited,1 April 2024,9250,600,27750,9250,46850,13/03/2024,5425611,"Gammel Køge Landevej, 2650 København, Hvidovre  - Ground floor",Hvidovre
Apartment,94,3,3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,,Unlimited,As soon as possible,14500,750,43500,14500,73250,13/03/2024,5425632,"Hedesøvej, 2640 København, Hedehusene  - 3rd floor",Hedehusene
Room,20,1,0,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,1 May 2024,6000,0,18000,0,24000,13/03/2024,5425610,"Jægersborg Alle, 2820 København, Gentofte  - Ground floor",Gentofte
Room,20,1,1,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,1 April 2024,6000,0,18000,0,24000,13/03/2024,5425609,"Jægersborg Alle, 2820 København, Gentofte  - 1st floor",Gentofte
Room,20,1,1,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,1 April 2024,6000,0,18000,0,24000,13/03/2024,5425608,"Jægersborg Alle, 2820 København, Gentofte  - 1st floor",Gentofte
Room,25,1,2,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,1 April 2024,6500,0,19500,0,26000,13/03/2024,5425600,"Ermelundsvej, 2820 København, Gentofte  - 2nd floor",Gentofte
Room,25,1,1,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,1 April 2024,6500,0,19500,0,26000,13/03/2024,5425601,"Ermelundsvej, 2820 København, Gentofte  - 1st floor",Gentofte
Room,25,1,2,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,1 April 2024,6500,0,19500,0,26000,13/03/2024,5425602,"Ermelundsvej, 2820 København, Gentofte  - 2nd floor",Gentofte
Room,20,1,0,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,1 April 2024,6000,0,18000,0,24000,13/03/2024,5425604,"Jægersborg Alle, 2820 København, Gentofte  - Ground floor",Gentofte
Apartment,42,1,2,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,Not specified,Not specified,,24+ months,As soon as possible,9800,650,29400,9800,49650,13/03/2024,5426768,"Ådalsvej, 2720 København, Vanløse  - 2nd floor",Vanløse
Apartment,165,4,2,No,No,No,Yes,No,No,No,No,No,No,No,No,,Unlimited,31 March 2024,32130,1000,96390,32130,161650,13/03/2024,5424478,"Christian Ix'S Gade, 1111 København, København K  - 2nd floor",København K
Apartment,70,3,1,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,1 July 2024,14450,1000,43350,14450,73250,13/03/2024,5247973,"Lindgreens Allé, 2300 København, København S  - 1st floor",København S
Apartment,41,2,10,Yes,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,-,12-23 months,1 May 2024,15000,,45000,,60000,12/03/2024,5302430,"Paulas Passage, 1799 København, København V  - 10th floor",København V
Room,25,1,0,Yes,No,No,No,No,No,No,Yes,Not specified,Not specified,Not specified,Not specified,-,12-23 months,1 April 2024,5000,2000,15000,10000,32000,12/03/2024,5198309,"Nørrevænget, 3500 København, Værløse ",Værløse
